ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum
ISic020162,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020163,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020164,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020165,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020166,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020167,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020168,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020169,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020170,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020171,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020172,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020173,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020174,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020175,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020176,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020177,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020178,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020179,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020180,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020181,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020182,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020183,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020184,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020185,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020186,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020187,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020188,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020189,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020190,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020191,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020192,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020193,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020194,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020195,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020196,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020197,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020198,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020199,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020200,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020201,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020202,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020203,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020204,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020205,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020206,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020207,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020208,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020209,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020210,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020211,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020212,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020213,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020214,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020215,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020216,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020217,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020218,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020219,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020220,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020221,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020222,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020223,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020224,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020225,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020226,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020227,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020228,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020229,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020230,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020231,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020232,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020233,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020234,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020235,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020236,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020237,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020238,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020239,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020240,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020241,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020242,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020243,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020244,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020245,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020246,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020247,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020248,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020249,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020250,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
