ISic,,Ancient place,Date after,Date before,Type of text,Execution,Language,Link to image,Museum,ref ,test batch,text description,subtype,subtype dropdown,"certainty for subtype (1 = high, 2 = medium, 3 = low)",notes and comments,macro description,visually assessed granulometry (Very fine < 0.5mm; fine < 1mm; Medium <2mm; Coarse > 2mm),visually assessed colour ,banded and/or veined,visually assessed colour of veins/bands,smell,micro description (OM + DM),OM desc,DM desc,digital microscopy?,digital microscopy MGS (mm),digital microscopy fabric,digital microscopy GBS,digital microscopy triple points,interpreted?,optical microscopy?,optical microscopy MGS (mm),optical microscopy  fabric,optical microscopy GBS,optical microscopy triple points,microstructure,microscopy lineated,microscopy porphyroblasts,microscopy fine grained areas,microscopy strained crystals,XRD?,,XRD carbonate content (%),main carbonate,Calcite,Magnesian calcite,Dolomite,Aragonite,Quartz,Fe-oxihydroxides,Clay Minerals,Alkali_Feldspars,Plagioclases,Pyroxenes,Sulphates,Sulphides,Olivine,Graphite,other,XRD cell parameter a (nm) ,XRD cell parameter a (nm) +-,XRD cell parameter c (nm),XRD cell parameters c (nm) +-,pXRF?,CaO,SiO2,K2O,Fe2O3,As,Au,Co,Cr,Cu,Fe,Hg,Mn,Nb,Pb,Rb,Sr,Th,Ti,Y,Zn,Zr,microscopy / XRD / EPR: dolomite,microscopy / XRD: plagioclase,microscopy / XRD: rutile,microscopy / XRD: pyrite,microscopy / XRD: magnetite,microscopy / XRD: amphibole,microscopy / XRD: titanite,microscopy / XRD: zircon,microscopy / XRD: serpentine,microscopy / XRD: chlorite,microscopy / XRD: epidote,microscopy / XRD: quartz,microscopy / XRD: K mica,microscopy / XRD: Na mica,microscopy / XRD: Fe ore,microscopy / XRD: gypsum,microscopy / XRD: graphite,microscopy / XRD: apatite,isotopes?,isotopes delta18O,isotopes delta13C,EPR?,EPR Mn2+ ave,EPR Mn2+ stdevp,EPR dolomite %,EPR width ave,EPR width stdevp,EPR g=2.0044 ave,EPR g=2.0044 stdevp,EPR g=14.2515 ave,EPR g=14.2515 stdevp,LA-ICP-MS?,Li 7_2_2_1_1,B 11_2_2_1_1,Na 23_2_1_1,Mg 24_2_1_1,Sc 45_2_1_1,Ti 47_2_1_1,V 51_2_1_1,Cr 52_2_1_1,Mn 55_2_1_1,Fe 57_2_1_1,Co 59_2_1_1,Ni 60_2_1_1,Cu 63_2_1_1,Zn 66_2_1_1,Ga 69_2_1_1,As 75_2_1_1,Rb 85_2_1_1,Sr 88_2_1_1,Y 89_2_1_1,Zr 90_2_1_1,Nb 93_2_1_1,Mo 98_2_1_1,Cd 111_2_1_1,Sb 121_2_1_1,Cs 133_2_1_1,Ba 138_2_1_1,La 139_2_1_1,Ce 140_2_1_1,Nd 142_2_1_1,Sm 152_2_1_1,Eu 153_2_1_1,Gd 158_2_1_1,Dy 164_2_1_1,Er 166_2_1_1,Yb 174_2_1_1,Hf 180_2_1_1,W 184_2_1_1,Pb 208_2_1_1,Bi 209_2_1_1,Th 232_2_1_1,U 238_2_1_1
ISic003407,,,,,,,,,,,,"Fine-grained, homogeneous, white marble, likely Lunense, Docimian, Göktepe, Hymettan. Digital microscopy: homeoblastic fabric. ","Lunense, Docimian, Göktepe, Hymettan","Lunense, Docimian, Göktepe, Hymettan",2,,"Fine-grained, homogeneous, white marble",Fine,white,homogeneous,white,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,0.6,homeoblastic,"c, e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003412,,,,,,,,,,,,"Very fine-grained, homogeneous, white marble, likely Lunense, Docimian, Göktepe, Hymettan. Digital microscopy: heteroblastic to homeoblastic fabric. ","Lunense, Docimian, Göktepe, Hymettan","Lunense, Docimian, Göktepe, Hymettan",2,,"Very fine-grained, homogeneous, white marble",Very fine,white,homogeneous,white,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,0.5,heteroblastic to homeoblastic,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003420,,,,,,,,,,,,"Coarse-grained, homogeneous, white marble, likely Aphrodisian, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3. ","Aphrodisian, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3","Aphrodisian, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3",2,,"Coarse-grained, homogeneous, white marble",Coarse,white,homogeneous,,,,,,yes,2.7,heteroblastic,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003571,,,,,,,,,,,,"Fine-grained, veined, white marble, likely Pavonazzetto. Digital microscopy: homeoblastic fabric. ",Pavonazzetto,Pavonazzetto,2,,"Fine-grained, veined, white marble",Fine,white,veined,purple,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,0.6,homeoblastic,"c, s",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003572,,,,,,,,,,,yes,"Very fine to fine-grained, homogeneous, white, calcitic marble, likely Lunense, Parian-1. Optical microscopy: homeoblastic to heteroblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ","Lunense, Parian-1","Lunense, Parian-1",2,,"Very fine to fine-grained, homogeneous, white, calcitic marble",Very fine to fine,white,homogeneous,,,Optical microscopy: homeoblastic to heteroblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ,Optical microscopy: homeoblastic to heteroblastic fabric with triple points. ,Digital microscopy: homeoblastic fabric. ,yes,0.3,homeoblastic,c,,,yes,0.8,homeoblastic to heteroblastic,"e, c",triple points,,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-1.97,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003573,,,,,,,,,,,,"Very fine-grained, homogeneous, white marble, likely Lunense, Pentelic. Digital microscopy: homeoblastic fabric. ","Lunense, Pentelic","Lunense, Pentelic",2,,"Very fine-grained, homogeneous, white marble",Very fine,white,homogeneous,,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,0.2,homeoblastic,c,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003574,,,,,,,,,,,yes,"Very fine-grained, veined, white, calcitic marble, likely Pavonazzetto. Optical microscopy: homeoblastic to heteroblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ",Pavonazzetto,Pavonazzetto,2,,"Very fine-grained, veined, white, calcitic marble",Very fine,white,veined,dark green,,Optical microscopy: homeoblastic to heteroblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ,Optical microscopy: homeoblastic to heteroblastic fabric with triple points. ,Digital microscopy: homeoblastic fabric. ,yes,0.4,homeoblastic,"c, e",,,yes,0.5,homeoblastic to heteroblastic,e,triple points,,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003575,,,,,,,,,,,yes,"Very fine-grained, veined, white, calcitic marble, likely Pavonazzetto. Optical microscopy: heteroblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ",Pavonazzetto,Pavonazzetto,2,,"Very fine-grained, veined, white, calcitic marble",Very fine,white,veined,purple,,Optical microscopy: heteroblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ,Optical microscopy: heteroblastic fabric with triple points. ,Digital microscopy: homeoblastic fabric. ,yes,0.3,homeoblastic,,,,yes,0.5,heteroblastic,e,triple points,,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003577,,,,,,,,,,,yes,"Very fine-grained, homogeneous, white, calcitic marble, likely Lunense, Parian-1. Optical microscopy: homeoblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ","Lunense, Parian-1","Lunense, Parian-1",2,,"Very fine-grained, homogeneous, white, calcitic marble",Very fine,white,homogeneous,,,Optical microscopy: homeoblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ,Optical microscopy: homeoblastic fabric with triple points. ,Digital microscopy: homeoblastic fabric. ,yes,0.4,homeoblastic,e,,,yes,0.6,homeoblastic,"c, s",triple points,,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003579,,,,,,,,,,,,"Very fine-grained, veined, grey marble, likely Lunense, Docimian, Göktepe, Hymettan. Digital microscopy: homeoblastic to heteroblastic fabric. ","Lunense, Docimian, Göktepe, Hymettan","Lunense, Docimian, Göktepe, Hymettan",2,,"Very fine-grained, veined, grey marble",Very fine,grey,veined,grey,,Digital microscopy: homeoblastic to heteroblastic fabric. ,,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.5,homeoblastic to heteroblastic,e,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003580,,,,,,,,,,,yes,"Very fine to fine-grained, banded, white, calcitic marble, likely Docimian, Pentelic. Optical microscopy: heteroblastic fabric with fine-grained areas. Digital microscopy: homeoblastic to heteroblastic fabric. ","Docimian, Pentelic","Docimian, Pentelic",2,,"Very fine to fine-grained, banded, white, calcitic marble",Very fine to fine,white,banded,grey,,Optical microscopy: heteroblastic fabric with fine-grained areas. Digital microscopy: homeoblastic to heteroblastic fabric. ,Optical microscopy: heteroblastic fabric with fine-grained areas. ,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.5,homeoblastic to heteroblastic,"c, e",,,yes,0.8,heteroblastic,"c, e",,,,,fine-grained areas,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-8.59,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003581,,,,,,,,,,,yes,"Very fine to fine-grained, homogeneous, white, calcitic marble, likely Docimian, Pentelic. Optical microscopy: heteroblastic fabric with triple points. Digital microscopy: heteroblastic to homeoblastic fabric. ","Docimian, Pentelic","Docimian, Pentelic",2,,"Very fine to fine-grained, homogeneous, white, calcitic marble",Very fine to fine,white,homogeneous,,,Optical microscopy: heteroblastic fabric with triple points. Digital microscopy: heteroblastic to homeoblastic fabric. ,Optical microscopy: heteroblastic fabric with triple points. ,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,0.4,heteroblastic to homeoblastic,"c, e",,,yes,0.8,heteroblastic,e,triple points,,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003582,,,,,,,,,,,,"Fine-grained, homogeneous, white marble, likely Lunense, Docimian, Göktepe, Pentelic. Digital microscopy: heteroblastic to homeoblastic fabric. ","Lunense, Docimian, Göktepe, Pentelic","Lunense, Docimian, Göktepe, Pentelic",2,,"Fine-grained, homogeneous, white marble",Fine,white,homogeneous,,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,0.8,heteroblastic to homeoblastic,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003584,,,,,,,,,,,yes,"Fine to medium-grained, banded and veined, white marble, likely Docimian, Aphrodisian, Parian-1, Parian-3, Parian-2, Parian-4, Ephesian_scritto, Ephesian_white. Digital microscopy: heteroblastic to homeoblastic fabric. ","Docimian, Aphrodisian, Parian-1, Parian-3, Parian-2, Parian-4, Ephesian_scritto, Ephesian_white","Docimian, Aphrodisian, Parian-1, Parian-3, Parian-2, Parian-4, Ephesian_scritto, Ephesian_white",2,,"Fine to medium-grained, banded and veined, white marble",Fine to medium,white,banded and veined,grey,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1.5,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003585,,,,,,,,,,,,"Very fine-grained, banded, white marble, likely Lunense, Aphrodisian, Docimian, Algerian_scritto_Mt-Filfila, Pentelic. Digital microscopy: heteroblastic to homeoblastic fabric. ","Lunense, Aphrodisian, Docimian, Algerian_scritto_Mt-Filfila, Pentelic","Lunense, Aphrodisian, Docimian, Algerian_scritto_Mt-Filfila, Pentelic",3,,"Very fine-grained, banded, white marble",Very fine,white,banded,grey,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,0.3,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003586,,,,,,,,,,,yes,"Medium-grained, banded, grey marble, likely Aphrodisian, Proconnesian, Parian-1, Parian-2, Parian-3, Parian-4, Thasian-3, Ephesian_scritto, Ephesian_white. Digital microscopy: heteroblastic fabric. ","Aphrodisian, Proconnesian, Parian-1, Parian-2, Parian-3, Parian-4, Thasian-3, Ephesian_scritto, Ephesian_white","Aphrodisian, Proconnesian, Parian-1, Parian-2, Parian-3, Parian-4, Thasian-3, Ephesian_scritto, Ephesian_white",2,,"Medium-grained, banded, grey marble",Medium,grey,banded,grey,,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,2,heteroblastic,e,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003587,,,,,,,,,,,,"Very fine-grained, veined, white marble, likely Lunense. Digital microscopy: homeoblastic fabric. ",Lunense,Lunense,3,,"Very fine-grained, veined, white marble",Very fine,white,veined,purple,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,0.3,homeoblastic,"c,e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003588,,,,,,,,,,,,"Very fine-grained, veined, white marble, likely Lunense. Digital microscopy: homeoblastic to heteroblastic fabric. ",Lunense,Lunense,3,,"Very fine-grained, veined, white marble",Very fine,white,veined,grey,,Digital microscopy: homeoblastic to heteroblastic fabric. ,,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.3,homeoblastic to heteroblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003589,,,,,,,,,,,,"Very fine-grained, veined, white marble, likely Lunense. Digital microscopy: homeoblastic to heteroblastic fabric. ",Lunense,Lunense,3,,"Very fine-grained, veined, white marble",Very fine,white,veined,grey,,Digital microscopy: homeoblastic to heteroblastic fabric. ,,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.3,homeoblastic to heteroblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003590,,,,,,,,,,,,"coarse-grained, homogeneous, white marble, likely Aphrodisian, Proconnesian, Parian-3, Parian-2, Thasian-1, Thasian-2. Digital microscopy: heteroblastic fabric. ","Aphrodisian, Proconnesian, Parian-3, Parian-2, Thasian-1, Thasian-2","Aphrodisian, Proconnesian, Parian-3, Parian-2, Thasian-1, Thasian-2",2,,"coarse-grained, homogeneous, white marble",coarse,white,homogeneous,,,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,2.6,heteroblastic,e,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003591,,,,,,,,,,,yes,"Very fine to fine-grained, banded, grey, calcitic, smelly marble, likely Lunense. Optical microscopy: homeoblastic fabric with triple points, lineated. Digital microscopy: heteroblastic to homeoblastic fabric. ",Lunense,Lunense,1,,"Very fine to fine-grained, banded, grey, calcitic, smelly marble",Very fine to fine,grey,banded,white,smelly,"Optical microscopy: homeoblastic fabric with triple points, lineated. Digital microscopy: heteroblastic to homeoblastic fabric. ","Optical microscopy: homeoblastic fabric with triple points, lineated. ",Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,0.8,heteroblastic to homeoblastic,c,,,yes,0.4,homeoblastic,"c, e",triple points,,lineated,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-1.22,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003699,,,,,,,,,,,yes,"Very fine-grained, banded and veined, white marble, likely fior_di_pesco. Digital microscopy: indistinguishable fabric. ",fior_di_pesco,fior_di_pesco,3,,"Very fine-grained, banded and veined, white marble",Very fine,white,banded and veined,red and purple,,Digital microscopy: indistinguishable fabric. ,,Digital microscopy: indistinguishable fabric. ,yes,0.3,indistinguishable,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic004340,,,,,,,,,,,yes,"Very fine-grained, homogeneous, white, calcitic marble, likely Docimian, Pentelic, Hymettan. Digital microscopy: heteroblastic to homeoblastic fabric. lunense does not make sense. Sr too low for Goktepe. no smell so unlikely Hymettan","Docimian, Pentelic, Hymettan","Docimian, Pentelic, Hymettan",3,lunense does not make sense. Sr too low for Goktepe. no smell so unlikely Hymettan,"Very fine-grained, homogeneous, white, calcitic marble",Very fine,white,homogeneous,none,,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,0.4,heteroblastic to homeoblastic,"c, e",,,no,,,,,,,,,,yes,,,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic004341,y,,,,,,,,,,yes,"Fine to medium-grained, banded, white, calcitic marble, likely Proconnesian, Parian-2. Optical microscopy: heteroblastic to homeoblastic fabric with mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. ","Proconnesian, Parian-2","Proconnesian, Parian-2",1,,"Fine to medium-grained, banded, white, calcitic marble",Fine to medium,white,banded,grey,,Optical microscopy: heteroblastic to homeoblastic fabric with mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. ,Optical microscopy: heteroblastic to homeoblastic fabric with mosaic microstructure. ,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,1.5,homeoblastic to heteroblastic,c,,yes,yes,1.6,heteroblastic to homeoblastic,"c, e",,mosaic microstructure,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-1.37,3,yes,,,,,,,,,,yes,1.16000,6.44000,76.03000,3474.40000,0.12715,26.66000,12.76000,8.02000,6.21000,510.68000,0.25000,3.33000,2.91000,30.97000,0.27000,0.38000,0.95000,168.17000,0.66000,0.52000,0.14000,0.12000,0.28000,0.18000,0.07000,5.54000,1.43000,1.46000,0.92000,0.15000,0.03000,0.13000,0.10000,0.08000,0.06000,0.00997,18.17000,136.64000,14.78000,0.06000,0.05000
ISic004359,y,,,,,,,,,,yes,"Very fine to fine-grained, homogeneous, white, calcitic, smelly marble, likely Lunense. Optical microscopy: heteroblastic fabric with mortar microstructure, fine-grained areas. Digital microscopy: indistinguishable fabric. no match",Lunense,Lunense,2,no match,"Very fine to fine-grained, homogeneous, white, calcitic, smelly marble",Very fine to fine,white,homogeneous,none,smelly,"Optical microscopy: heteroblastic fabric with mortar microstructure, fine-grained areas. Digital microscopy: indistinguishable fabric. ","Optical microscopy: heteroblastic fabric with mortar microstructure, fine-grained areas. ",Digital microscopy: indistinguishable fabric. ,yes,0.4,indistinguishable,na,,yes,yes,0.7,heteroblastic,e,,mortar microstructure,,,fine-grained areas,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-0.4,2.68,yes,,,,,,,,,,yes,1.55000,63.63000,348.37000,1378.58000,0.80747,3568.80000,1.52000,19.70000,5.97000,115.73000,947.45000,2.12000,48.14000,10.01000,25.53000,0.27000,0.92000,0.76000,2797.21000,2.58000,1.55000,1.12000,0.14000,0.54000,0.71000,0.37000,12.77000,1.28000,0.33000,0.77000,0.24000,0.06000,0.33000,0.26000,0.17000,0.08719,0.17000,143.40000,66.45000,876.52000,1.00000
ISic004361,,,,,,,,,,,,"Medium-grained, banded, white marble, likely Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white, Ephesian_scritto. Digital microscopy: homeoblastic fabric. ","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white, Ephesian_scritto","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white, Ephesian_scritto",2,,"Medium-grained, banded, white marble",Medium,white,banded,grey,,Digital microscopy: homeoblastic fabric. ,,Digital microscopy: homeoblastic fabric. ,yes,2,homeoblastic,"c, e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic004363,y,,,,,,,,,,yes,"Very fine-grained, homogeneous, white, calcitic marble, likely Lunense. Optical microscopy: homeoblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ",Lunense,Lunense,1,,"Very fine-grained, homogeneous, white, calcitic marble",Very fine,white,homogeneous,none,,Optical microscopy: homeoblastic fabric with triple points. Digital microscopy: homeoblastic fabric. ,Optical microscopy: homeoblastic fabric with triple points. ,Digital microscopy: homeoblastic fabric. ,yes,0.4,homeoblastic,c,,yes,yes,0.5,homeoblastic,"s, c",triple points,,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-1.79,2.03,yes,,,,,,,,,,yes,0.51000,4.18000,36.39000,3721.03000,0.08025,3.01000,0.45000,4.27000,1.91000,16.61000,129.54000,0.10000,1.55000,0.79000,7.85000,0.04000,0.08000,0.11000,181.05000,1.85000,0.18000,0.02000,0.02000,0.25000,0.04000,0.02000,1.99000,0.61000,0.30000,0.44000,0.06000,0.02000,0.08000,0.15000,0.14000,0.05408,0.01000,3.75000,1.96000,0.65000,0.02000
ISic004364,y,,,,,,,,,,yes,"Fine to medium-grained, banded, white, calcitic marble, likely Parian-1, Parian-2, Proconnesian. Optical microscopy: heteroblastic fabric. Digital microscopy: heteroblastic fabric. ","Parian-1, Parian-2, Proconnesian","Parian-1, Parian-2, Proconnesian",2,,"Fine to medium-grained, banded, white, calcitic marble",Fine to medium,white,banded,grey,,Optical microscopy: heteroblastic fabric. Digital microscopy: heteroblastic fabric. ,Optical microscopy: heteroblastic fabric. ,Digital microscopy: heteroblastic fabric. ,yes,1.5,heteroblastic,e,,yes,yes,1.9,heteroblastic,"e, su",,,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-3.14,2.91,yes,,,,,,,,,,yes,3.48000,21.88000,170.91000,3493.59000,0.17846,36.44000,4.43000,6.40000,29.58000,1434.34000,0.70000,4.09000,2.73000,35.66000,1.36000,1.49000,3.18000,351.67000,0.58000,0.23000,0.28000,0.14000,0.46000,0.50000,0.25000,38.86000,0.74000,2.25000,0.56000,0.12000,0.04000,0.18000,0.08000,0.09000,0.05000,0.00447,30.78000,27.26000,11.77000,0.20000,0.16000
