ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum,
ISic000046,ISic000046,yes,yes,,,stone.marble,TRUE,,,"identification based on pXRF, digital microscopy","pXRF, digital microscopy",,pXRF,digital microscopy,,,,,,,,,ISic000046,,401,500,Syracusae,Siracusa,marble,funerary,chiselled,Ancient Greek,Museo Archeologico Regionale Antonino Salinas,
ISic000047,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000047,,201,250,Soluntum,Solunto,marble,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000048,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000048,,1,200,Tauromenium,Taormina,marble,dedication,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000049,,no,no,,,stone.marble,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000049,,1,100,Tauromenium,Taormina,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000050,,no,no,,,stone.marble,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000050,,51,200,Tauromenium,Taormina,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000051,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000051,,51,200,Tauromenium,Taormina,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000052,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000052,,51,100,Thermae Himeraeae,Termini Imerese,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000053,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000053,,1,300,Thermae Himeraeae,Termini Imerese,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000054,ISic000054,yes,yes,yes,yes,stone.calcarenite,TRUE,,,"identification based on XRD, optical microscopy","XRD, optical microscopy",,,,XRD,optical microscopy,,,,yes,yes,,ISic000054,no,1,200,Thermae Himeraeae,Termini Imerese,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000055,,no,no,,,stone.marble,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000055,,301,500,Thermae Himeraeae,Termini Imerese,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
